  Detector,Descriptor,  image  1,  image  2,  image  3,  image  4,  image  5,  image  6,  image  7,  image  8,  image  9,  image 10,  image 11,  image 12,  image 13,  image 14,  image 15,  image 16,  image 17,  image 18
 SHITOMASI,     BRISK,     13.79,     12.72,     13.96,     11.76,     12.38,     13.27,     11.92,     12.06,     10.95,     11.87,     11.40,     11.46,     11.20,     10.38,     10.44,     11.80,     11.86,     11.41
 SHITOMASI,     BRIEF,     14.49,     14.83,     13.25,     12.78,     12.44,     16.61,     13.86,     15.60,     11.87,     13.00,     11.55,     12.13,     11.73,     12.17,     12.56,     13.44,     10.56,      8.78
 SHITOMASI,       ORB,     14.07,     12.99,     12.92,     11.81,     12.43,     14.63,     12.18,     13.52,     11.19,     12.21,     11.76,     12.05,     11.94,     11.71,     12.53,     12.67,     11.14,      8.41
 SHITOMASI,     FREAK,     13.50,     13.31,     11.47,     12.74,     12.33,     14.24,     12.18,     12.18,     11.34,     12.04,     11.19,     12.03,     12.20,     11.36,     11.92,     11.97,     11.59,     11.19
 SHITOMASI,     AKAZE,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          
 SHITOMASI,      SIFT,     13.79,     14.28,     12.42,     12.12,     12.28,     14.76,     13.44,     14.10,     11.20,     13.40,     11.93,     12.05,     11.73,     12.01,     12.90,     12.80,     10.71,      9.76
    HARRIS,     BRISK,     -1.00,     11.01,    -10.30,     10.98,     44.92,     11.38,     11.66,     10.71,     -1.00,     -1.00,     11.81,     11.95,    284.16,      5.55,    -14.78,      6.66,     11.10,      -inf
    HARRIS,     BRIEF,     -1.00,     11.01,    -10.30,     10.98,     35.38,     11.57,      -inf,      9.74,     -1.00,     10.29,     11.67,     11.95,      -inf,      5.55,    -12.64,      6.66,     12.58,      -inf
    HARRIS,       ORB,     -1.00,     11.01,    -10.30,     10.98,     13.37,     11.57,      -inf,      9.74,     -1.00,     -1.00,     11.67,     11.95,      -inf,      5.66,    -12.64,      6.66,     11.10,      -inf
    HARRIS,     FREAK,     -1.00,     -1.00,    -10.30,     10.98,     35.38,     -1.00,     10.76,     12.37,     -1.00,     -1.00,     11.81,     11.95,     -1.00,     -1.00,      -inf,      6.87,     -1.00,     -1.00
